nid,title,content
2176152,The EDGE Of Trust: Team EDGE,"USA Today says &quot;Adventure, betrayal, revenge and redemption -- you'll find it all in The EDGE Of TRUST.&quot;&quot;KT Bryan doesn't just kick off her Team EDGE series with this powerhouse of a story, she fills it with rocket fuel and launches it straight into the stratosphere. &quot; ~ Tracy (One Good Book Deserves Another)"
435518,Wake to Darkness (A Brown and De Luca Novel),"""Shayne crafts a convincing world, tweaking vampire legends just enough to draw fresh blood.""--Publishers Weekly on Demon's Kiss""Maggie Shayne is better than chocolate. She satisfies every wicked craving.""--New York Times bestselling author Suzanne Forster""Tense . . . frightening . . . a page-turner in the best sense""--Romantic Times Magazine on Colder than Ice""A tasty, tension-packed read.""--Publishers Weekly on Thicker Than Water"
732110,Have You Seen Her?,"Offering heart-racing thrills, both in the bedroom and the forensics lab, this second romantic intrigue from Rose (Don't Tell) showcases her growing talent. Rose has created complex, realistic characters in high school teacher Jenna Marshall and Special Agent Steven Thatcher, whose eldest son, Brad, is in Jenna's class. Though Steven, a widower, is in the midst of a search for a serial killer who targets cheerleaders in their small North Carolina town, he takes time to visit Jenna when she calls to tell him that Brad, who used to be a high achiever, is flunking out of chemistry. When they meet, their own chemistry takes over and they find themselves falling in love, despite their troubled romantic pasts and the fact that Jenna may be next on the killer's list. Rose populates her novel with vivid characters - like Steven's seven-year-old son Nicky, who was a character in Rose's previous novel - and stokes the tension to a fever pitch, throwing in shocking twists each time the story threatens to settle into predictability. Though some of Steven and Jenna's lovers' quarrels deteriorate into melodrama, readers will hardly notice as they rush to the novel's thrilling conclusion.Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved."
1378785,Anywhere She Runs,"""Anywhere She Runsis fast-paced, action-packed suspense, the way romantic suspense is supposed to be. Webb crafts a tight plot, a kick-butt heroine, a sexy hero with a past and a mystery as dark as the black water at night."" --Romantic Times BOOKReviews""This book balances suspense, romance, and drama in just the right measures. Just when you think you know where the plot is headed, there is a twist or turn that makes you want to keep reading. &#160;Let&#8217;s hope there are more Adeline Cooper mysteries to come!"" --Affaire de Coeur""Anywhere She Runs&#160;is a spine tingling romantic suspense&#8212;a gripping tale from the pen of the talented Debra Webb.&#160; She doesn&#8217;t disappoint.&#160; With good storytelling and a hot romance,Anywhere She Runswill grab readers and not let go until the last terrifying page."" --Romance Reviews Today""Ms. Webb brings us another edge of your seat story. The inaction between the hero and heroine is very believable. The amount of suspense and romance is just right. This story had me hooked from the first page and did not let up until the end."" --Night Owl Reviews"
2272018,"OXO Tot Dishwasher Basket, Orange","The durable OXO Tot Dishwasher Basket helps you keep track of all your small bottle and sippy-cup parts while they're in the dishwasher. It features a space-efficient design with several compartments that allow you to hold everything from bottle nipples to sippy-cup straws, while the large-hole pattern on each side of the Basket ensures total exposure to the dishwasher's water jets. The Basket opens symmetrically to help prevent toppling during loading and unloading.This Dishwasher Basket helps you keep track of all your small bottle and sippy-cup parts while they're in the dishwasher.View larger.The doors of the Basket can accommodate up to eight bottle nipples.View larger.Helps Clean and Keep Track of Small Bottle and Cup PartsThe spacious and space-efficient OXO Tot Dishwasher Basket is designed to clean the smaller parts of bottles and sippy cups effectively, without losing them in the dishwasher. The doors of the Basket can accommodate up to eight bottle nipples and open symmetrically to prevent toppling over while being loaded on countertops.Internal flip-down straw holders help keep sippy-cup straws upright and secure during cleaning, and the large-hole pattern on every side of the Basket ensures total exposure to water jets. The Dishwasher Basket measures 11-1/8 x 4-1/2 x 4-1/8 inches (L x W x H).The OXO Tot Cleaning Line: The Right Tools for the JobsIn five years, 25 babies were born to OXO employees, making for many users of all things baby! The collective group of new parents set out to create a line of baby and toddler products developed to minimize frustration of parents and toddlers as they transition from babies to big kids. The OXO Tot line of Cleaning products helps parents clean with ease so they can spend their precious moments bonding with their children, not cleaning up after them.About OXO: Making Everyday Living Easier for Over 20 YearsOXO launched its first set of kitchen tools in 1990, and the company has since branched into every room of the home and beyond. OXO products are designed to make everyday living easier for the widest possible spectrum of users. And with the launch of OXO Tot, an exciting new line of baby and toddler products, the company has extended that mission even further, to include the youngest users ever - children.What's in the BoxOne OXO Tot Dishwasher Basket (Orange), 11 1/8 x 4 1/2 x 4 1/8 inches (L x W x H).Bottle Brush with Nipple Cleaner with StandBottle Brush with Nipple Cleaner without StandGreenOrangeAquaGreenOrangeAquaDishwasher BasketMini Dishwasher BasketBottle Drying RackMini Dust Pan &amp; Brush SetOrangeOrangeOrangeOrange"
1481642,Cleansing Purifying Scrub with Sea Salt 250 ml by Christophe Robin,"This purifying, moisturizing and soothing scrub is ideal as a detox treatment, to cleanse and rebalance sensitive or oily scalps; but also as a post-coloring treatment, to calm itchiness and remove chemical residues left on the scalp. Its original formula contains sea-salt, a natural exfoliant which eliminates impurities and stimulates blood micro-circulation, providing rebalancing mineral salts. This paste is also enriched with a 100% plant-derived agent, which offers a deep and long lasting hydration even after rinsing. It immediately soothes the scalp and relieves itching. The scalp reaches an ideal level of hydration within 24 hours and all irritating sensations are significantly reduced. These measured effects are felt immediately and can last for up to 4 days. Result: the scalp is soothed, rebalanced and healthy. Freed from impurities, it regains freshness and comfort. Hair is healthy, shiny and feels amazingly clean and light for a long time.Paraben, Silicone, SLS, Colorant Free. Directions: The cleansing purifying scrub with sea salt is to be used as a shampoo, it does not require any processing time. The texture being very compact, use the equivalent of one tablespoon, on wet hair or after rinsing the color. Delicately massage the whole scalp, add some water and emulsify paying particular attention to the nape of the neck. Rinse abundantly then apply a nourishing treatment on lengths and ends according to the needs and hair nature. Avoid getting the product into the eyes, if it occurs, rinse eyes with water. Allows 20 applications. All conditioners and masks of the Christophe robin care line can be used as an additional treatment, one of the best combinations is the cleansing purifying scrub with sea-salt + the new regenerating mask with rare prickly pear seed oil on lengths and ends (for women) or the cleansing purifying scrub with sea-salt + mosturizing hair cream (for men)"
960975,Avene Thermal Spring Water Spray 300ml,"Soothing and anti-irritant properties. Its unique composition and constant Avene Thermal Water gives soothing and anti irritant properties demonstrated by numerous scientific studies. Avene Thermal Water is a real active principle, in the resort of Avene, allows the treatment of skin conditions. Properties: The thermal water of Avene contains: * Silica + This is a trace element that is present in the natural structure of the skin and so it improves elasticity. * A low mineralization + It allows to fully respect the fragility and sensitivity of the skin. Composition: Avene Thermal Water, nitrogen (gas) No preservatives The sterile water spray is propelled with nitrogen (inert gas non-flammable and does not destroy the ozone layer.) Indications: soothing essential care for sensitive skin, hypersensitive, allergic and irritated. 1.Situacin skin irritations: atopic skin, scaly skin tallow, photoallergic skin, prone to cuperosis . 2.Situacin episodic irritations: Sunburn, post-surgery, eyelid irritation, redness, dermato-irritant treatments."
2408762,Fresh Soy Formula F21c Face Cleanser 1.7 Oz (Sealed Not in Box),"What it is: A multitasking gel that gently removes impurities and makeup. What it is formulated to do: The Soy Face Cleanser from Fresh instantly whisks away everyday impurities and makeup-even mascara-without stripping the skin of essential moisture. Rich in amino acids, soy proteins promote moisture retention, elasticity, and firmness. Rosewater balances and tones the skin. Fragrance-free and soap-free, calming cucumber extract and nourishing borage seed oil enriches its formula. What it is formulated WITHOUT: - Sulfates - Synthetic Fragrances - Synthetic Dyes - Phthalates - GMOs - Triclosan"
1498586,Soap &amp; Glory Wash Your Hands Of It 8.4 US Fl. Oz Hand Wash,"WASH YOUR HANDS OF ITTM liquid soap is so soft-on-your skin and fabulously fragrant you may find yourself looking for any opportunity to get your hands dirty. This fruity hand wash has skin-friendly cleansing suds, barrier protecting provitamin B5, special cationic conditioners, antioxidant pomegranate juice and is scented with Soap & Glory's Original Pink fragrance. Fruity Fresh non-drying hand wash."
2360501,God and the Oval Office: The Religious Faith of Our 43 Presidents,"John McCollister, Ph.D.,is a former pastor and university professor. He is the author of nineteen books, includingThe Christian Book of Why, The Best Baseball Games Ever Played,andEchoes from the Smithsonian."
2135901,The Presidents &amp; Their Faith: From George Washington to Barack Obama,"Dr. Darrin Grinderis Chair of the English Department at Northwest Nazarene University and Associate Professor of American Literature. He has a Doctorate of Arts in English from Idaho State University. He and his wife attend Cathedral of the Rockies United Methodist Church in Boise, Idaho.Dr. Steve Shawis Professor of Political Science and Director of the University Honors Program at Northwest Nazarene University. He holds the PhD degree in Political Science from the University of Oklahoma. He has taught at NNU since 1979, and he and his wife attend Holy Apostles Catholic Church in Meridian, Idaho."
916973,Neiko Super Heavy-Duty Hex Driver Impact Socket Set - 1/2-Inch Drive - SAE,"Neiko 8-piece 1/2-inch drive SAE hex impact socket driver. For use with impact wrenches and air ratchet wrenches Chromium-vanadium construction. Drop forged and heat treated. Sockets length: 3-inch. Sizes: 1/4, 5/16, 3/8, 7/16, 1/2, 9/16, 5/8, 3/4-inch. Blow molded case"
1183479,"Neiko 10076A 3/8-Inch Extra Long Hex Bit Socket Set Metric, 7-Piece","Quality torque extension set, made with Cr-V alloy steel, mirror polished and chrome plated, drop forged and steel heat treated. Perfect for Auto Mechanics and for other applications."
1392005,"TEKTON 4965 3/8-Inch Drive Impact Extension Bar Set, 3-Piece","Forged and Hardened Carbon Steel, Corrosion-Resistant Black Oxide Finish, Locks on to Drive Tang, Spring-Loaded Ball Bearing Socket Retainer. Contents: 1-pc. 3/8-Inch Dr. x 3-Inch Extension Bar, 1-pc. 3/8-Inch Dr. x 6-Inch Extension Bar, 1-pc. 3/8-Inch Dr. x 8-Inch Extension Bar."
592503,"TEKTON 4957 Impact Adapter and Reducer Set, Cr-V, 4-Piece",
1552267,Klein 32561 Std. Stubby Screwdriver/Nut Driver with Cushion Grip. 6 in 1 Tool.,"The Klein 32561 Stubby Screwdriver/Nut Driver with Cushion Grip includes an interchangeable shaft that holds four (4) universal tips and converts to two (2) nut driver sizes. The stubby screwdriver/nut driver has a shank length of 1.27-Inches and an overall length of 3.2-Inches. The Compact design allows easy access to tight work spaces while the cushion-grip handles provide greater torque and comfort. The stubby screwdriver/nut driver contains 3/16-Inch and 1/4-Inch slotted heads, 1 and 2 Phillips heads, and 5/16-Inch nut drivers. Since 1857, Klein Tools has manufactured the world's finest hand tools.&#xA0;Today, Klein Tools is the 1 choice among professional tradesmen.&#xA0; We manufacture more than 3,000 tools and accessories, including pliers, cable and bolt cutters, wire strippers, voice-data-video tools and testers, fish tapes, conduit benders, drill bits, insulated tools, gloves and many other high-quality products. Klein Tools' dedication to quality and innovation continues with products available for professional tradesmen worldwide."
1671612,"SharkBite U860R100 PEX Tubing, 1/2-Inch x 100-Feet",Manufactured without an oxygen barrier for potable water systems SharkBite&#xAE; PEX tubing is a cross-linked polyethylene tubing for a wide range of residential and commercial plumbing applications.
2192935,"SharkBite U860B100 PEX Tubing, 1/2-Inch by 100-Feet",SharkBite U860B100 PEX Tubing 1/2-Inch x 100 ft. Coil without Oxygen Barrier Blue Color
1724169,"SharkBite 23036-0000LF Angle Stops and Fixture Supply Fittings, 1/2-Inch by 3/8-Inch",SharkBite 23036-0000LF Angle Stop 1/2-Inch X 3/8-Inch Compression Lead Free
2445792,"SharkBite U712A Disconnect Clip, 3/4-Inch",SharkBite U712A Disconnect Clip 3/4-Inch
2379441,Cash Acme U702A Shark Bite Deburring and Depth Tool,"The Cash Acme U702A Shark Bite Deburring and Depth Tool is the push-fit connection system that's really taking hold. It's the easiest way to join copper, CPVC or PEX pipe in any combination - with no soldering, clamps, unions or glue. Just insert the pipe and the stainless steel teeth bite down and grip tight, while a specially formulated O-ring compresses to create a perfect seal. Disassembly is just as fast using the simple disconnect tool. So fittings and valves can be easily changed and reused. They can even be rotated after assembly for easier installation in tight spaces. Get SharkBite and get a grip on your next plumbing project."
168895,It Could Always Be Worse: A Yiddish Folk Tale (Michael Di Capua Books),"A wise rabbi doles out surprising advice to a man complaining of overcrowded quarters in this Yiddish folktale; Zemach's exuberantly chaotic illustrations earned her a Caldecott Honor. Ages 3-up.Copyright 1990 Reed Business Information, Inc."
1921346,"""Dinosaur Bones (Let's-Read-and-Find-Out Science 2)""","The latest Let's-Read-and-Find-Out Science book is written in the lively and informative style of Aliki's Digging Up Dinosaurs and Dinosaurs Are Different, with the added personal perspective of My Visit to the Dinosaurs. Here Aliki helps children understand that our knowledge of dinosaurs began less than 200 years ago, when Mary Ann Mantell discovered fossilized dinosaur teeth in a pile of rocks near an English quarry. The major findings of other scientists are included as well. Aliki has a perfect sense of just which details will most delight her readers: dinosaur footprints, a banquet held inside a life-size dinosaur model. Full-color illustrations of curious, questioning people and their discoveries make a treasure hunt of this fact-filled volume. Ages 4-8.Copyright 1987 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
432804,Somebody Board Game,"It&#x2019;s easy to understand why somebody is so popular. Young children play it as a puzzle, carefully placing body parts on the body boards and taking them off again and again. Older kids learn names, functions and locations as they play. With five different games included, all ages will learn and grow with this game for years to come. Somebody has received rave reviews from homes to classrooms. Ages 6 to 10, 2 to 4 Players"
1640789,"Find Out About Mesopotamia: What Life Was Like in Ancient Sumer, Babylon and Assyria, Precursors of Modern Iraq","Dr Jen Green received a doctorate from the University of Sussex in 1982. She worked in publishing for 15 years and is now a full-time writer who has written many books for children. Lorna Oakes lectures regularly at the British Museum and Birkbeck College, London University, and has led many lecture tours to Egypt and Syria. Her work with the Education Service at the British Museum includes producing trails and a teacher's guide on the Assyrian Galleries, taking part in the programme of gallery talks and lectures, and teaching school groups and theological college students."
1284184,"""What Color Is Camouflage? (Let's-Read-and-Find-Out Science, Stage 2)""","Kindergarten-Grade 2-Two welcome additions to a prolific series designed to educate and stimulate young learners. In the first book, Branley explores magnetism and the uses and history of magnets. Several simple experiments allow for hands-on, empirical verification of concepts. The illustrations, the tone of the text, and the device of a helpful mouse add appeal to a subject that may have had a limited audience. The second title, which is complemented by Lloyd's artful renderings, examines camouflage as an animal defense. Each spread shows several creatures blended into their natural environment; all of them are accurately illustrated and clearly identified. The final pages invite readers to take a closer look at the world around them and discover hidden life. These titles are well-designed, written, and illustrated. In both books, the information is relevant and succinct. These beautiful and simple introductions to science will appeal to any child who has ever asked, ""Why?""-Christy Norris, Valley Cottage Library, NYCopyright 1996 Reed Business Information, Inc."
2255943,"Egyptian Gods and Goddesses (Penguin Young Readers, L4)","Grade 1-3-This beginning reader opens with a brief lineup of gods and goddesses including Horus, Re, Thoth, Montu, Osiris, Isis, and Anubis and then goes into an account of the Egyptians' fascination with death and the afterlife. Readers find out why pyramids and mummies were so important, and how bodies were prepared for their trip to the Underworld. The book closes with a quick look at modern Egyptians and their beliefs. The watercolor illustrations have decorative borders, hieroglyphs, and line drawings of people and gods. Much of the book is devoted to the exploration of death customs and belief systems; the gods and goddesses play a minor part, rendering the title slightly misleading. Also, some of the vocabulary may be difficult for new readers. Still, the information is good and easy enough to satisfy budding interests.Angela J. Reynolds, Washington County Cooperative Library Services, Aloha, ORCopyright 2000 Reed Business Information, Inc."
39805,Dig A Dino Tyrannosaurus Rex,"Play at being a top paleontologist by excavating the bones of a dinosaur that roamed the Earth millions of years ago. Then put the pieces together to make the stunning skeleton of a terrifying Tyrannosaurus Rex, the largest and the fiercest carnivore of the prehistoric world. Kit includes a plaster block and a specially designed digging tool to help excavate the skeleton. Provides hours of fun for you as a paleontologist! Recommended for 8 years and older due to small parts."
25553,"Flash, Crash, Rumble, and Roll","Kindergarten-Grade 4This useful book, first published with humdrum illustrations by Ed Emberley (Crowell, 1964; o.p.), underwent a major metamorphosis in 1985, with a rearranged and revised text accompanied by colorful, inviting illustrations by Barbara and Ed Emberley. Now, in a general revamping of the entire series, this simple treatise on thunder and lightning has been transformed. The text contains minor revisions, and Kelleys watercolor illustrations are bright and appealing. Diagrams are clearer and labeling promotes easier interpretation. Also included, for active home investigators (or enthusiastic classroom teachers), is a page containing two simple weather experiments and a list of three Internet weather sites. Nicely done.Patricia Manning, formerly at Eastchester Public Library, NYCopyright 1999 Reed Business Information, Inc."
15045,Our Family Tree: An Evolution Story,"Kindergarten-Grade 3-Evolution is a ticklish topic. It is controversial to some for religious reasons; for others, it is a challenging concept to present to a young audience without losing scientific veracity. For one thing, young children have little concept of time-a million years might be the span between birthdays. For another, the idea of slow, evolutionary change still seems somehow equal to a magician's trick. So, accomplishing a reasonable explanation of a scientific concept and its progress through millennia is worthy of note. Peters's simple text uses the ""we/us"" format to place Homo sapiens in the ""family"" of life at its very beginnings. ""All of us,"" she states in the first sentence of the book, ""are part of an old, old family,"" going back to Earth's beginnings. ""We've changed a lot since then."" Through a simple progression, amply bolstered by Stringer's striking, large acrylics, she traces ""our"" family tree from unicellular organisms through amphibians, therapsids, and early mammals to early primates, hominids, and our distinct ""humanness"" today. Enriched by two pages of additional data and a colorful time line, the whole is rounded out by carefully written author and illustrator notes. Simpler than Stephen Webster's The Kingfisher Book of Evolution (2000) and Melvin Berger's How Life Began (Doubleday, 1990; o.p.), and perhaps easier than Joanna Cole's venerable Evolution (Crowell, 1987; o.p.), this book is a wonderful companion to Steve Jenkins's equally attractive Life on Earth (Houghton, 2002).Patricia Manning, formerly at Eastchester Public Library, NYCopyright 2003 Reed Business Information, Inc."
419982,Sing the Word: A New Commandment,
1888012,,Original Item: Superseding all leather slings of the early war years came these web Enfield rifle slings with steel or brass fittings.We offer war time desert tan web slings and all have WWII dates. Good/Very good condition. Dates in the 1940s.
567292,"Mauser Stripper Clips 40CT 6.5x55mm 38,94,96 &amp; 30-06, 1903, 1917","40x 6.5x55 mm stripper clips in a unopened box These are new stripper clips that will work on many firearms including the Swedish Mauser 38,94,96,1903 springfield,1917 Enfield and i have been told 6.5mm Arisaka rifles You will receive 40 new stripper clips with each order"
1907893,"BookFactory&reg; Leather C&amp;R FFL 03 Bound Book / C&amp;R Bound Book / Curio and Relics Bound Book, Page Size 8 7/8&quot; x 7&quot; - 72 Pages, Black Imitation Leather Cover, Professional Grade, Smyth Sewn Hardbound (LOG-072-GUNCOLL-LKT39)","Proudly display your antique gun collection in this handsome bound book. This sturdy firearms record album will withstand frequent handling, making it an excellent choice for gun shows and firearm exhibits. This is the best way for gun collectors to document their compliance with Title 27 ATF Documentation Requirements for Firearms Collectors. Each page has space for a 4"" x 6"" photo and the fields for recording information on the firearm as prescribed in Table 4 of Title 27, Part 478"
2405688,"Tapco, Inc. Sling Universal Sling SLG9001 BLACK","Tapco, Inc. Sling Black Universal Sling SLG9001 BLACK"
2413253,AK/SKS Thread Adaptor,"This adaptor attaches to the muzzle of an AK or SKS by four set screws (make them tight), and will accept any AK type screw-on accessory such as flash hider, muzzle break, fake suppressor, etc. using the Russian 14mm reverse threads (see our other adds for AK accessories). All steel and nicely blued.(Cannot fit muzzles with sleeve welded on)."
2070481,Desert Fox - Polish Ak Sling,Original Polish Ak Sling.
728409,Break-Free LP-5 LP Lubricant Preservative with Trigger Sprayer (1-Pint),"Break-Free LP Lubricant Preservative provides shooters with a lubricating formula that is specifically designed to support sustained and heavy volume shooting. This formula contains specially polymerized synthetic oils for improved boundary film strength, plus multiple anti-wear and extreme pressure additives to reduce friction, stop build-up of foreign particles, and inhibit rust and corrosion on metals--even during extensive shooting. As a replacement for grease and other heavy viscosity lubes, the Break Free LP formula will not dry out, harden, solidly, or attract metal fines and other contaminants. Beneficial to all shooters, but especially heavy volume shooters of rapid fire automatic handguns and rifles including law enforcement officers and target shooters, Break Free LP works well with polymer composition automatics and prevents galling on stainless steel and other exotic gun metals including titanium. Break Free LP was originally developed for manufacturers of heavy automatic military cannon to keep their weapons working under long and sustained fire during battle."
2425657,Mosin Nagant M44 Bolt action rifle cleaning kit,"Mosin Nagant M44 Cleaning Kit STANDARD CLEANING KIT, INCLUDING FIRING PIN DEPTH GUAGE/SCREW DRIVER, BRUSH, CLEANING ROD JAG, MUZZLE PROTECTOR, CLEANING ROD HANDLE, AND POUCH THE MOSIN-NAGANT RIFLES"
2087355,AK-47 Recoil Buffer,"This recoil buffer by Buffer Technologies will stop the bolt carrier from impacting the reciever on each shot, and less wear and tear on moving parts."
1870634,Sun Optics USA Tactical Military Sks Scope Mount,Sun Optics SUN SM8569 SKS MOUNT MT 75077
1668990,Iwako Japanese Erasers / Cakes and Pastry 7pcs.,"IWAKO erasers are made in Japan using lead-free, non-PVC, non-toxic recyclable new materials. They are individually hand picked, assembled and packaged. They meet very strict Japanese and European safety and environmental regulations. but, these erasers are not just for fun...they actually are excellent pencil erasers. Try them and they will bring a smile to your heart!"
589781,"""Ganz Lil'Kinz Googles Plush, 7.5&quot;""","Webkinz pets are very special plush animals. Each Webkinz pet comes with a secret code that allows the owner to log into the website and adopt a virtual version of their pet. With this code as their key, children can join Webkinz World without giving out any personal information such as e-mail, last name or phone number."
1664602,Ty Beanie Babies - Scoop the Pelican,"Scoop was born on August 1, 1996, and his poem reads:All day long he scoops up fishTo fill his bill, is his wishDiving fast and diving lowHoping those fish are very slow!This funny-looking bird is quite a character. His body and wings are a bluish gray, and he has bright orange feet and an enormous bill. Black button eyes and black thread nostrils give him a humorous look. Surface wash only.--Peggy Etra"
2002799,Webkinz Seal,"Webkinz pets are very special plush animals. Each Webkinz pet comes with a secret code that allows the owner to log into the website and adopt a virtual version of their pet. With this code as their key, children can join Webkinz World without giving out any personal information such as e-mail, last name or phone number."
2373497,Ty Beanies Babies - Pinky,"Pinky the Flamingo is beyond flamboyant. She was born on February 13, 1995. Her poem reads:Pinky loves the evergladesFrom the hottest pink she's madeWith floppy legs and big orange beakShe's the Beanie that you seek!Pinky's body is a vibrant shade of hot pink, while her lanky legs and the underside of her wings are several shades lighter. A bright orange beak and black button eyes add to her charm, as do oversize, bean-stuffed feet. This is one Beanie Baby you can't help but notice. The very collectible Pinky is a favorite with adults and children alike. Surface wash only.--Peggy Etra"
216168,Cantors: A Faith in Song,"Recorded live in Amsterdam's historic, 17th Century, Portuguese Synagogue, the concert features three of the world's greatest cantors in a program of inspiring Jewish secular and religious song. Performing with a 46 piece orchestra and 16 voice choir are"
320182,,
1661638,,"Recorded live in Amsterdam's historic, 17th Century, Portuguese Synagogue, the concert features three of the world's greatest cantors in a program of inspiring Jewish secular and religious song. Performing with a 46 piece orchestra and 16 voice choir are"
100182,The Israeli Solution: A One-State Plan for Peace in the Middle East,"""Even those who blanch at the thought of Israel annexing the West Bank can learn from the points Glick makes...Glick has brought out her book at an amazing moment, sketching what many will see as a better route toward peace and in the nick of time.""-New York Post""Devotees of the two-state solution will surely dismiss Caroline Glick&rsquo;s&#160;The Israeli Solution&#160;out of hand. They shouldn&rsquo;t. Whether or not one agrees with Glick&rsquo;s conclusions, it&rsquo;s hard to dispute her premise: The two-state solution has failed repeatedly for more than 80 years, starting with serial British partition plans in the 1930s. Each time, it has foundered on the same obstacle: Arab rejection of the Jewish state&rsquo;s right to exist within any borders. And there&rsquo;s no reason to think this will change anytime soon. So anyone who truly considers the status quo unsustainable needs to explore alternative solutions.""-Commentary""If you read only one book about the Middle East this year, it should be Caroline Glick's. Whether or not you agree with her conclusions, she illuminates the contorted landscape by pointing to an audacious solution. It is only by considering alternative actions that we understand our present circumstances, and Ms Glick concentrates the mind wonderfully.""&#160;-Asia Times""A radical proposal advanced in time&rsquo;s nick for those who doubt the framework Secretary of State Kerry is seeking for talks about a two-state solution. [Glick] lays the arguments out beautifully, and her plan deserves attention on Capitol Hill.""-New York Sun""The&#160;most comprehensive and articulate defense of what the Israeli position is that I have ever seen.""-Pat Robertson,The 700 Club""A radical break with current thinking that has a chance to completely change the conversation for the betterment of Israel and America&hellip;Glick proposes that given an enemy that has been dedicated to nothing less than the annihilation of Israel, in order to defend its borders and continue to flourish, Israel must claim its sovereignty over Judea and Samaria and grant all Palestinians, subject to Israeli law, with permanent residency and the ability to apply for full citizenship&hellip;Every person who cares about the fate of the West, regardless of political orientation, will gain something from reading Glick&rsquo;s lucid, thoroughly researched and thought-provoking book.""-The Blaze""The Israeli Solution&#160;will bring the one-state alternative out of the margins and into the mainstream policy debate.""-Breitbart&#160;""A bold, dramatic proposal, cleanly crafted and effectively argued...Given Caroline Glick's background,&#160;&#160;she is expertly placed to provide insight into why the two-state concept may have been flawed from its birth.""-The Jerusalem Post""Cuts through all the relativistic baloney regarding the Palestinian controversy and provides a comprehensive explanation for why it is vital for supporters of Israel not go wobbly now. If there is a single new book that can help the public make sense of the Mideast crisis, this is it...Caroline Glick makes a convincing case that the only way to move toward peace in the Middle East is through the one-state plan""&#160;-The American Spectator""The Israeli Solution&#160;is a realistic solution because it does not promise to create a new Middle East, assure us that terrorists will become statesmen or breezily offer an end to a hatred that has existed for over a thousand years...Instead she offers the real solution of managing the conflict by taking responsibility for the territory and people instead of abandoning it and them to Arafat or Abbas and hoping that the magic doves of peace will do the rest...Advocates something that has never been tried before throughout this conflict; integration instead of segregation and unity instead of partition.""-Frontpage&#160;&#160;&ldquo;If you want to understand the Middle East, read this book. If you want to know how our corrupt elites in Washington bungled American policy in the most incendiary region in the world, read this book. The Israeli Solution exposes all the lies we&rsquo;ve been spoon fed for a generation and presents an alternative policy for the United States to follow in the Middle East that is clear headed, rational, legal, and moral. The Israeli Solution is simple and just. This is a must read.&rdquo;&#160;-Mark Levin, bestselling author ofLiberty and TyrannyandThe Liberty Amendments&#160;""With&#160;skill and&#160;boldness, Caroline Glick cuts through the fog of diplomacy surrounding what Israel should do with the West Bank.&#160; Her analysis and strategy will cause headaches and palpitations in foreign ministries around the world wedded to the failed &lsquo;two-state solution.&rsquo;&#160; It&#160;will be a character-building experience for them.""&ndash;John Bolton, former U.S. Ambassador to the United Nations&#160;&ldquo;A must-read for anyone interested in understanding the century-old violent conflict between the Jews and Arabs in the Middle East. &#160;Filled with facts, many of them little known and less remembered, it rejects the standard ""two-state"" paradigm; instead, it proposes a radically new idea based on Jewish rights to the land, combined with full citizenship for the Arab minority. Whether or not one agrees with her conclusions, one can only admire the carefully crafted and compelling logic, based on a thorough knowledge of the facts and a deep understanding of history.&rdquo;&ndash;Professor Robert Aumann, Nobel Memorial Prize in Economic Sciences, 2005&#160;&#160;&ldquo;Before committing the United States and Israel to yet another generation of futile Middle East peacemaking, everyone interested in bringing genuine and lasting peace to that troubled region owes it to themselves to read and consider Caroline Glick&rsquo;s passionate, well written and well researched case for&#160;The Israeli Solution.&rdquo; -Mike Pence, Governor of Indiana&#160;&#160;""Written by one of the premier thought leaders and policy visionaries on the Middle East ,The Israeli Solutionis a timely, pragmatic and forthright analysis of the failures of the two-state strategy since World War I. But Glick doesn't stop with analyzing the problem. She provides a solution that is bold, just, and strategically sound, and she says what needs to be said: Israel is the solution, not the problem. Essential reading for us all.""&#160;&ndash; Allen B. West, former U.S. Representative, Lieutenant Colonel (Ret)&ldquo;The &lsquo;two-state solution,&rsquo; one which American foreign and counterterrorism policy has been based for over two decades, is a tragic farce. As the intrepid Caroline Glick powerfully shows, it has weakened the United States while rendering Israel ever more vulnerable. In place of its continuing and inevitable failure, Glick offers real democracy promotion: a one-state solution that empowers Palestinians with what their corrupt leadership will forever deny: true civil rights.&rdquo; -Andrew C. McCarthy, bestselling author ofSpring Fever,The Grand Jihad, andWillful Blindness&#160;&ldquo;Glick undercuts deeply flawed demographics and easy clich&eacute;s with facts, reason, and a vision for the future of Arab-Israeli relations. With this provocative and necessary book, Glick has put the foreign policy consensus on alert, for the writing is on the wall&mdash;the answer is&#160;The Israeli Solution.&rdquo;&ndash;Lee Smith, senior editor,The Weekly Standard&ldquo;The Israeli Solutionis all about&#160;facing reality squarely. It is written seriously and deserves to be taken seriously.&rdquo;&ndash;Angelo Codevilla, professor of international relations, Boston University&#160;"
